Brand,Name,Boarding_time,Km,Discharge,New_price,Sec_price
东风风行,菱智 2013款 M5 Q3长车 2.0L 手动 舒适型 7座,2014年6月,5.20万公里,国4,10.84万,4.75
东风风行,菱智 2015款 M5-Q7系列 2.0L 手动 7座 舒适型 加长轴距版,2015年5月,3.70万公里,国4,8.89万,5.8
东风风神,风神AX7 2015款 2.0L 自动 智逸型,2016年8月,2.09万公里,国5,15.16万,9.5
东风风神,风神AX7 2015款 2.0L 自动 智悦型,2015年4月,2.63万公里,国5,13.86万,8.1
道奇,酷搏 2011款 2.0L 自动 SXT经典版,2012年1月,8.00万公里,国4,21.70万,9.38
东风,帅客 2012款 2.0L 自动 豪华型 ZN6441V1R4(国IV+OBD),2014年5月,5.00万公里,国4,11.70万,5
丰田,RAV4荣放 2013款 2.0L 自动 特享精英版,2013年8月,2.00万公里,国4,23.86万,13.6
丰田,丰田86 2017款 2.0L 手动 豪华型,2017年4月,0.60万公里,国5,30.15万,30.8
丰田,丰田86 2017款 2.0L 手动 豪华型,2016年12月,0.60万公里,国5,30.15万,29.88
丰田,RAV4荣放 2015款 2.0L CVT 两驱 风尚版,2015年8月,6.70万公里,国5,21.69万,14.98
丰田,RAV4荣放 2009款 2.0L 豪华版 AT,2010年4月,11.30万公里,国4,23.64万,10
丰田,RAV4荣放 2009款 2.0L 豪华版 AT,2010年4月,11.30万公里,国4,23.64万,10
丰田,凯美瑞 2012款 经典版 2.0L 200E 精英版,2012年9月,10.00万公里,国4,19.84万,9
丰田,逸致 2012款 2.0L 自动 至尊导航版,2013年4月,6.00万公里,国4,26.03万,10.93
丰田,RAV4荣放 2011款 2.0L 自动豪华版,2011年6月,6.69万公里,国4,24.94万,11.8
丰田,RAV4荣放 2010款 2.0L 豪华升级版 AT,2010年9月,8.90万公里,国4,24.73万,9.98
丰田,RAV4荣放 2012款 2.0L 自动 经典版,2013年2月,6.00万公里,国4,21.47万,13.9
丰田,RAV4荣放 2011款 2.0L 自动豪华版,2011年12月,8.60万公里,国4,24.94万,10.68
丰田,凯美瑞 2012款 经典版 2.0L 200E 精英版,2014年6月,5.00万公里,国4,19.84万,12.8
丰田,RAV4荣放 2013款 2.0L CVT 风尚版,2013年12月,6.00万公里,国4,23.64万,13.99
丰田,RAV4荣放 2013款 2.0L 自动 特享精英版,2014年10月,6.00万公里,国4,23.86万,18
丰田,RAV4荣放 2011款 2.0L 自动经典版,2013年11月,11.16万公里,国4,21.47万,11.5
